"Stkcd","Trddt","Opnprc"
"600519","2022-03-01","1802.000"
"600519","2022-03-02","1840.000"
"600519","2022-03-03","1845.800"
"600519","2022-03-04","1772.000"
"600519","2022-03-07","1760.200"
"600519","2022-03-08","1759.980"
"600519","2022-03-09","1764.100"
"600519","2022-03-10","1808.000"
"600519","2022-03-11","1766.000"
"600519","2022-03-14","1730.000"
"600519","2022-03-15","1650.000"
"600519","2022-03-16","1634.000"
"600519","2022-03-17","1720.000"
"600519","2022-03-18","1718.000"
"600519","2022-03-21","1724.000"
"600519","2022-03-22","1723.880"
"600519","2022-03-23","1705.000"
"600519","2022-03-24","1738.000"
"600519","2022-03-25","1712.000"
"600519","2022-03-28","1625.000"
"600519","2022-03-29","1661.500"
"600519","2022-03-30","1698.000"
"600519","2022-03-31","1720.000"
